country,Country Code,Continent,HDI,le,eys,mys,gnicp,ptr_p,ut,se_p,fr,che,pun,ppod,gee
Pakistan,PAK,Asia,0.543,66.2972,7.931729794,5.115049839,4495.95069,44.78201,3.913,64.89623,3.759,2.78630086,12.1,13.32697462,2.136656761
Panama,PAN,North America,0.811,77.7954,12.95616796,10.25965691,28606.48873,21.96162,5.392,86.23979,2.493,7.42582321,6.7,4.695434179,2.977041245
Peru,PER,South America,0.77,75.879,14.99071026,9.535280228,11931.12893,17.93677,3.69,94.91894,2.281,4.91623974,7.6,6.096864309,3.931309938
Philippines,PHL,Asia,0.704,71.5156,13.14836025,8.446499825,9016.762194,29.08352,2.55,93.7756,2.865,3.96042776,7.5,4.941827926,3.971154451
Poland,POL,Peru                                       | South America,0.875,77.7205,16.08062935,13.04480243,28817.10086,10.18051,4.89,95.78475,1.48,6.5601325,2.5,0,4.574649811
Portugal,PRT,Philippines                                | Asia,0.859,81.498,16.53578949,9.218230247,32269.04155,12.35346,8.87,97.56411,1.38,9.30583763,2.5,0,5.015610218
Romania,ROU,Europe,0.823,75.9519,14.25988007,11.14865017,26756.30966,19.33481,4.93,82.22835,1.71,5.15083218,2.5,0,3.118200064
Russian Federation,RUS,Europe/Asia,0.833,73.3743,15.02735043,12.72337438,25233.84257,21.25883,5.21,95.09612,1.621,5.35889816,2.5,0,4.689909935
Rwanda,RWA,Africa,0.526,65.9409,11.49604034,4.265272498,1913.034071,57.85938,11.88,96.9315,4.027,6.38999748,34.7,2.308953273,3.124720097
Sao Tome and Principe,STP,Africa,0.612,68.2666,12.87443733,5.918941025,3941.369046,31.15842,13.911,93.0763,4.142,6.46091604,12.5,47.49709023,5.036369801
Saudi Arabia,SAU,Asia,0.86,77.1605,15.63002014,10.22029972,48041.17305,12.22675,5.89,95.18623,2.584,6.26256561,3.7,0,8.023456
Senegal,SEN,Africa,0.509,67.7503,9.057225227,2.830689907,3114.304101,32.81273,4.08,75.3821,4.622,4.16359377,8.5,11.28149096,4.624969959
Serbia,SRB,Europe,0.802,76.213,14.76615047,11.16240025,15538.46624,14.28392,13.48,95.17741,1.49,8.22039318,4,0.060356608,3.710160017
Slovak Republic,SVK,Europe,0.856,77.219,14.48703957,12.76618004,29516.49964,15.53919,8.13,83.09318,1.52,6.77511358,4.4,0,3.932209969
Solomon Islands,SLB,Oceania,0.564,69.9882,10.40610784,5.54073206,2610.761701,25.77788,0.698,69.52108,4.218,4.110919,17.7,45.5337227,12.10865432
